endpoint,search_entity,search_field,entity_ref,full_check
/api/v1/clients/{id},persons,caseRecNumber,10000037,FALSE
/api/v1/clients/{id},persons,caseRecNumber,10000884,FALSE
/api/v1/clients/{id},persons,caseRecNumber,10001403,FALSE
/api/v1/clients/{id},persons,caseRecNumber,10001668,FALSE
/api/v1/clients/{id},persons,caseRecNumber,10002199,FALSE
/api/v1/clients/{id},persons,caseRecNumber,10002625,FALSE
/api/v1/clients/{id},persons,caseRecNumber,10003409,FALSE
/api/v1/clients/{id},persons,caseRecNumber,10004038,FALSE
/api/v1/clients/{id},persons,caseRecNumber,10004188,FALSE
/api/v1/clients/{id},persons,caseRecNumber,10004257,FALSE
/api/v1/clients/{id},persons,caseRecNumber,10004263,FALSE
/api/v1/clients/{id},persons,caseRecNumber,10004637,FALSE
/api/v1/clients/{id},persons,caseRecNumber,10004741,FALSE
/api/v1/clients/{id},persons,caseRecNumber,10004879,FALSE
/api/v1/clients/{id},persons,caseRecNumber,10005237,FALSE
/api/v1/clients/{id},persons,caseRecNumber,10005243,FALSE
/api/v1/clients/{id},persons,caseRecNumber,10005433,FALSE
/api/v1/clients/{id},persons,caseRecNumber,10005928,FALSE
/api/v1/clients/{id},persons,caseRecNumber,10006315,FALSE
/api/v1/clients/{id},persons,caseRecNumber,10006413,FALSE
/api/v1/clients/{id},persons,caseRecNumber,10007163,FALSE
/api/v1/clients/{id},persons,caseRecNumber,10007261,FALSE
/api/v1/clients/{id},persons,caseRecNumber,10007877,FALSE
/api/v1/clients/{id},persons,caseRecNumber,10008713,FALSE
/api/v1/clients/{id},persons,caseRecNumber,10009307,FALSE
/api/v1/clients/{id},persons,caseRecNumber,10009526,FALSE
/api/v1/clients/{id},persons,caseRecNumber,10010274,FALSE
/api/v1/clients/{id},persons,caseRecNumber,10011951,FALSE
/api/v1/clients/{id},persons,caseRecNumber,95708936,FALSE
/api/v1/clients/{id},persons,caseRecNumber,95907481,FALSE
/api/v1/clients/{id},persons,caseRecNumber,96300648,FALSE
/api/v1/clients/{id},persons,caseRecNumber,96400946,FALSE
/api/v1/clients/{id},persons,caseRecNumber,96505010,FALSE
/api/v1/clients/{id},persons,caseRecNumber,97009936,FALSE
/api/v1/clients/{id},persons,caseRecNumber,97111265,FALSE
/api/v1/clients/{id},persons,caseRecNumber,97200058,FALSE
/api/v1/clients/{id},persons,caseRecNumber,97432184,FALSE
/api/v1/clients/{id},persons,caseRecNumber,97520164,FALSE
/api/v1/clients/{id},persons,caseRecNumber,97532758,FALSE
/api/v1/clients/{id},persons,caseRecNumber,97624336,FALSE
/api/v1/clients/{id},persons,caseRecNumber,97626072,FALSE
/api/v1/clients/{id},persons,caseRecNumber,97820067,FALSE
/api/v1/clients/{id},persons,caseRecNumber,97830937,FALSE
/api/v1/clients/{id},persons,caseRecNumber,97901626,FALSE
/api/v1/clients/{id},persons,caseRecNumber,98013349,FALSE
